x y z
0.375 0.75 1121.6430395324858
0.375 0.8125 1125.8425610657034
0.375 0.875 1130.2203568111079
0.375 0.9375 1134.7529269866297
0.375 1.0 1139.4205425322186
0.375 1.0625 1144.206426040556
0.375 1.125 1149.0961522591876
0.375 1.1875 1154.0771995367058
0.375 1.25 1159.1386077081759
0.375 1.3125 1164.270712733019
0.375 1.375 1169.46493778323
0.375 1.4375 1174.7136265864642
0.375 1.5 1180.0099088995692
0.375 1.5625 1185.3475907616387
0.375 1.625 1190.7210641027355
0.375 1.6875 1196.1252316473417
0.375 1.75 1201.555444031295
0.375 1.8125 1207.007446765736
0.375 1.875 1212.4773352101274
0.375 1.9375 1217.9615161122717
0.375 2.0 1223.4566745729994

0.4375 0.0625 1108.255802836422
0.4375 0.125 1100.238846459601
0.4375 0.1875 1097.6261965578678
0.4375 0.25 1097.3302137102758
0.4375 0.3125 1098.3675845844398
0.4375 0.375 1100.2901466750343
0.4375 0.4375 1102.8518758161254
0.4375 0.5 1105.900968647553
0.4375 0.5625 1109.3358857978076
0.4375 0.625 1113.0845806177679
0.4375 0.6875 1117.0935878063522
0.4375 0.75 1121.3218145448188
0.4375 0.8125 1125.7367785925398
0.4375 0.875 1130.3122103864964
0.4375 0.9375 1135.0264592195404
0.4375 1.0 1139.8613959679883
0.4375 1.0625 1144.8016347371602
0.4375 1.125 1149.833966345164
0.4375 1.1875 1154.9469366793794
0.4375 1.25 1160.130526686466
0.4375 1.3125 1165.3759052818298
0.4375 1.375 1170.6752356303036
0.4375 1.4375 1176.0215211915868
0.4375 1.5 1181.4084818695987
0.4375 1.5625 1186.8304532823363
0.4375 1.625 1192.282304021549
0.4375 1.6875 1197.7593670767326
0.4375 1.75 1203.2573825323475
0.4375 1.8125 1208.7724493261908
0.4375 1.875 1214.3009843571201
0.4375 1.9375 1219.839687603491
0.4375 2.0 1225.3855121953577

0.5 0.0625 1104.653458634232
0.5 0.125 1097.1719180524328
0.5 0.1875 1095.0349617772372
0.5 0.25 1095.1639526069462
0.5 0.3125 1096.5828490565577
0.5 0.375 1098.849427528742
0.5 0.4375 1101.7225623886443
0.5 0.5 1105.0545270867945
0.5 0.5625 1108.7472030189736
0.5 0.625 1112.7314353681543
0.5 0.6875 1116.9562203636563
0.5 0.75 1121.3825737552095
0.5 0.8125 1125.9798301362343
0.5 0.875 1130.7232939463731
0.5 0.9375 1135.5926850307387
0.5 1.0 1140.5710733229826
0.5 1.0625 1145.644126605508
0.5 1.125 1150.7995654765236
0.5 1.1875 1156.0267594896338
0.5 1.25 1161.3164219498926
0.5 1.3125 1166.6603752181497
0.5 1.375 1172.0513674215742
0.5 1.4375 1177.4829273181097
0.5 1.5 1182.9492479370037
0.5 1.5625 1188.4450922395608
0.5 1.625 1193.9657158534649
0.5 1.6875 1199.5068032048155
0.5 1.75 1205.0644142791323
0.5 1.8125 1210.6349398997695
0.5 1.875 1216.2150638949147
0.5 1.9375 1221.8017308833266
0.5 2.0 1227.3921186791765

0.5625 0.0625 1102.0500751970183
0.5625 0.125 1094.9892742215764
0.5625 0.1875 1093.2306228540986
0.5625 0.25 1093.7012114399015
0.5625 0.3125 1095.4297341502254
0.5625 0.375 1097.977917424521
0.5625 0.4375 1101.1079568233688
0.5625 0.5 1104.6749387780324
0.5625 0.5625 1108.5831433039748
0.5625 0.625 1112.765473617234
0.5625 0.6875 1117.1727019337243
0.5625 0.75 1121.7673848010922
0.5625 0.8125 1126.5202002324625
0.5625 0.875 1131.4076294484275
0.5625 0.9375 1136.4104276021933
0.5625 1.0 1141.5125792003191
0.5625 1.0625 1146.700563056173
0.5625 1.125 1151.9628215934697
0.5625 1.1875 1157.28936900474
0.5625 1.25 1162.6714961745279
0.5625 1.3125 1168.1015445577639
0.5625 1.375 1173.5727301822792
0.5625 1.4375 1179.0790047414414
0.5625 1.5 1184.614944575865
0.5625 1.5625 1190.1756609322838
0.5625 1.625 1195.7567266707933
0.5625 1.6875 1201.3541158415526
0.5625 1.75 1206.9641534423101
0.5625 1.8125 1212.583473311756
0.5625 1.875 1218.2089825852838
0.5625 1.9375 1223.8378314898087
0.5625 2.0 1229.467387516993

0.625 0.0625 1100.2361691753033
0.625 0.125 1093.5134580190957
0.625 0.1875 1092.0616963700302
0.625 0.25 1092.8117787872045
0.625 0.3125 1094.7956051877952
0.625 0.375 1097.5776228459426
0.625 0.4375 1100.9223518486524
0.625 0.5 1104.6868766769792
0.625 0.5625 1108.777204468635
0.625 0.625 1113.1277392016443
0.625 0.6875 1117.6905635347252
0.625 0.75 1122.4293835006201
0.625 0.8125 1127.3158897244946
0.625 0.875 1132.3274590491608
0.625 0.9375 1137.4456417738447
0.625 1.0 1142.6551308674493
0.625 1.0625 1147.943038503046
0.625 1.125 1153.29837513415
0.625 1.1875 1158.7116659389485
0.625 1.25 1164.1746627998182
0.625 1.3125 1169.6801242164038
0.625 1.375 1175.221644489737
0.625 1.4375 1180.7935192808968
0.625 1.5 1186.390638455852
0.625 1.5625 1192.0083996974167
0.625 1.625 1197.6426381323836
0.625 1.6875 1203.289568458812
0.625 1.75 1208.9457369381414
0.625 1.8125 1214.6079812518471
0.625 1.875 1220.2733966868464
0.625 1.9375 1225.939307458013
0.625 2.0 1231.6032422341327

0.6875 0.0625 1099.0595833895572
0.6875 0.125 1092.6134314571066
0.6875 0.1875 1091.4146389896566
0.6875 0.25 1092.396717740932
0.6875 0.3125 1094.5938082433893
0.6875 0.375 1097.5722874291039
0.6875 0.4375 1101.0983464208216
0.6875 0.5 1105.0305242042043
0.6875 0.5625 1109.2761000074224
0.6875 0.625 1113.7705953394486
0.6875 0.6875 1118.4670787262355
0.6875 0.75 1123.3301293429388
0.6875 0.8125 1128.332213990888
0.6875 0.875 1133.451401908084
0.6875 0.9375 1138.6698630977403
0.6875 1.0 1143.972846914833
0.6875 1.0625 1149.3479665598352
0.6875 1.125 1154.7846849432171
0.6875 1.1875 1160.2739369432018
0.6875 1.25 1165.8078463837091
0.6875 1.3125 1171.3795102610884
0.6875 1.375 1176.982831664174
0.6875 1.4375 1182.6123885794752
0.6875 1.5 1188.2633295663086
0.6875 1.5625 1193.9312898437945
0.6875 1.625 1199.6123230886626
0.6875 1.6875 1205.3028454716095
0.6875 1.75 1210.999589332928
0.6875 1.8125 1216.6995645275094
0.6875 1.875 1222.4000259293227
0.6875 1.9375 1228.0984459257115
0.6875 2.0 1233.792490986576

0.75 0.0625 1098.406316048579
0.75 0.125 1092.1896848119386
0.75 0.1875 1091.2021564265006
0.75 0.25 1092.379096754939
0.75 0.3125 1094.7562550313912
0.75 0.375 1097.9014109757538
0.75 0.4375 1101.581984671379
0.75 0.5 1105.6575964928995
0.75 0.5625 1110.0364811132351
0.75 0.625 1114.6550074679499
0.75 0.6875 1119.4669984362256
0.75 0.75 1124.4377070005917
0.75 0.8125 1129.5402037791544
0.75 0.875 1134.7531007726675
0.75 0.9375 1140.0590572938333
0.75 1.0 1145.443765046387
0.75 1.0625 1150.8952381874324
0.75 1.125 1156.4033039866235
0.75 1.1875 1161.959229227423
0.75 1.25 1167.5554407783693
0.75 1.3125 1173.1853129463543
0.75 1.375 1178.8430031257358
0.75 1.4375 1184.5233229928012
0.75 1.5 1190.2216362787783
0.75 1.5625 1195.9337767038714
0.75 1.625 1201.6559814056068
0.75 1.6875 1207.3848364181858
0.75 1.75 1213.1172316282384
0.75 1.8125 1218.8503232580956
0.75 1.875 1224.5815023846046
0.75 1.9375 1230.3083683392942
0.75 2.0 1236.0287060881683

0.8125 0.0625 1098.1887500440728
0.8125 0.125 1092.1648770019258
0.8125 0.1875 1091.355696073865
0.8125 0.25 1092.697919623089
0.8125 0.3125 1095.228478645322
0.8125 0.375 1098.5161944859383
0.8125 0.4375 1102.3294090269173
