x y
8 3.735869677509444
16 4.509791851287416
32 4.433208038030033
64 7.088796069545249
8 2.807373669035739
16 5.501160960070492
32 8.735270441443072
64 4.074379644095203
8 3.2695520954744732
16 3.6573880462078585
32 3.953566129066527
64 4.161924888800381
8 4.270394360491151
16 3.5585923088879254
32 2.698866523607397
64 5.051043126534599
8 3.996541205876738
16 3.876299830877887
32 8.790042621232129
64 7.991765252893499
8 3.7004585235393295
16 2.8714880721868132
32 5.740210870568595
64 4.959784855065128
8 4.248312273926041
16 2.9205835277513765
32 4.299588790299409
64 3.6228007501723245
8 3.3122621094862352
16 9.480014189405509
32 4.7612565997924285
64 6.207276062215401
8 3.8372398503308465
16 2.50348667037079
32 2.730677095301194
64 2.6410150905178593
8 3.229243274512535
16 4.34013930491107
32 5.181421227517727
64 5.741612030211451
